totalReports,numDistinctUsers,lastReportedAt,isWhitelisted,isTor,abuseConfidenceScore,abuseConfidenceClass,countryCode,usageType,domain,isp
1092,567,1742429501.0,False,True,58.0,1.0,39.0,1.0,186.0,183.0
520,122,1737009119.0,True,False,1.0,1.0,26.0,1.0,64.0,47.0
1715,100,1741526217.0,False,True,57.0,1.0,39.0,1.0,186.0,183.0
1509,150,1739214946.0,True,False,3.0,1.0,26.0,1.0,64.0,47.0
709,298,1738524028.0,True,False,2.0,1.0,39.0,1.0,186.0,183.0
985,910,1738000753.0,False,False,47.0,1.0,26.0,1.0,64.0,47.0
1816,739,1736974056.0,False,True,78.0,1.0,39.0,1.0,186.0,183.0
199,598,1737475982.0,False,True,41.0,1.0,26.0,1.0,64.0,47.0
967,420,1742074452.0,False,True,51.0,1.0,39.0,1.0,186.0,183.0
696,386,1738493359.0,False,True,45.0,1.0,26.0,1.0,64.0,47.0
967,393,1736527201.0,False,False,31.0,1.0,39.0,0.0,101.0,138.0
572,855,1736447808.0,False,True,57.0,1.0,26.0,3.0,75.0,43.0
1909,161,1738856861.0,True,True,24.0,1.0,39.0,1.0,186.0,183.0
1600,844,1736481115.0,True,True,25.0,1.0,26.0,1.0,64.0,47.0
1277,760,1738681137.0,True,False,4.0,1.0,39.0,0.0,101.0,138.0
841,636,1742779098.0,False,True,55.0,1.0,26.0,3.0,75.0,43.0
1538,328,1738555109.0,False,True,60.0,1.0,39.0,1.0,186.0,183.0
1164,378,1740734221.0,False,False,34.0,1.0,26.0,1.0,64.0,47.0
1518,615,1737888761.0,True,False,4.0,1.0,39.0,0.0,101.0,138.0
1852,569,1742440482.0,True,False,5.0,1.0,26.0,3.0,75.0,43.0
656,712,1736034288.0,True,False,3.0,1.0,39.0,1.0,186.0,183.0
30,471,1741791233.0,False,False,14.0,1.0,26.0,1.0,64.0,47.0
850,21,1739523735.0,True,False,1.0,1.0,39.0,0.0,101.0,138.0
176,165,1740168007.0,True,False,0.0,1.0,26.0,3.0,75.0,43.0
1307,693,1736716917.0,False,True,66.0,1.0,39.0,1.0,186.0,183.0
397,486,1743406574.0,True,False,2.0,1.0,26.0,1.0,64.0,47.0
610,948,1738845176.0,True,False,4.0,1.0,39.0,0.0,101.0,138.0
325,410,1736330823.0,True,False,1.0,1.0,26.0,3.0,75.0,43.0
23,817,1740300652.0,False,False,24.0,1.0,39.0,1.0,186.0,183.0
251,186,1738129157.0,True,False,1.0,1.0,26.0,1.0,64.0,47.0
786,350,1742627350.0,False,True,46.0,1.0,39.0,0.0,101.0,138.0
1379,66,1740943212.0,False,True,49.0,1.0,26.0,3.0,75.0,43.0
574,864,1740858319.0,True,True,23.0,1.0,39.0,1.0,186.0,183.0
907,861,1743097507.0,True,True,24.0,1.0,26.0,1.0,64.0,47.0
1373,457,1742898321.0,False,True,61.0,1.0,6.0,0.0,101.0,138.0
101,212,1738703414.0,False,True,28.0,1.0,125.0,3.0,75.0,43.0
1400,706,1740512980.0,False,True,69.0,1.0,39.0,1.0,186.0,183.0
965,642,1737282833.0,False,False,38.0,1.0,26.0,1.0,64.0,47.0
1488,747,1741580176.0,False,False,52.0,1.0,6.0,0.0,101.0,138.0
1461,211,1736253270.0,True,False,3.0,1.0,125.0,3.0,75.0,43.0
518,339,1736054202.0,False,False,20.0,1.0,39.0,1.0,186.0,183.0
785,372,1741216878.0,True,False,2.0,1.0,26.0,1.0,64.0,47.0
1976,901,1737581549.0,False,False,66.0,1.0,6.0,0.0,101.0,138.0
44,463,1742154767.0,True,True,21.0,1.0,125.0,3.0,75.0,43.0
215,365,1738097362.0,False,False,15.0,1.0,39.0,1.0,186.0,183.0
1114,225,1736339143.0,True,False,2.0,1.0,26.0,1.0,64.0,47.0
1965,981,1742844725.0,True,False,6.0,1.0,6.0,0.0,101.0,138.0
1595,564,1737622591.0,False,True,68.0,1.0,125.0,3.0,75.0,43.0
1905,896,1742938391.0,False,True,84.0,1.0,39.0,1.0,186.0,183.0
1421,32,1736517061.0,True,True,22.0,1.0,26.0,1.0,64.0,47.0
1035,164,1738858529.0,True,False,2.0,1.0,6.0,0.0,101.0,138.0
1031,195,1738001611.0,True,False,2.0,1.0,125.0,3.0,75.0,43.0
1423,258,1739473281.0,False,False,36.0,1.0,39.0,1.0,186.0,183.0
575,758,1741002307.0,False,True,54.0,1.0,26.0,1.0,64.0,47.0
1139,814,1742666825.0,False,True,67.0,1.0,6.0,0.0,101.0,138.0
1805,143,1738730234.0,False,False,40.0,1.0,125.0,3.0,75.0,43.0
1855,330,1737034241.0,True,True,24.0,1.0,39.0,1.0,186.0,183.0
1510,399,1738775103.0,False,False,42.0,1.0,26.0,1.0,64.0,47.0
712,443,1738650026.0,False,True,47.0,1.0,6.0,0.0,101.0,138.0
411,31,1737427272.0,False,True,29.0,1.0,125.0,3.0,75.0,43.0
739,882,1741291636.0,False,True,61.0,1.0,39.0,1.0,186.0,183.0
1589,609,1737909372.0,False,False,50.0,1.0,26.0,1.0,64.0,47.0
171,674,1741557095.0,True,True,22.0,1.0,6.0,0.0,101.0,138.0
211,134,1743527028.0,False,False,8.0,1.0,125.0,3.0,75.0,43.0
1991,88,1741403813.0,True,False,4.0,1.0,39.0,1.0,186.0,183.0
1005,867,1741105914.0,False,False,46.0,1.0,26.0,1.0,64.0,47.0
279,977,1736268767.0,False,True,54.0,1.0,6.0,0.0,101.0,138.0
1896,60,1740779561.0,False,True,59.0,1.0,125.0,3.0,75.0,43.0
825,737,1740996383.0,False,True,58.0,1.0,39.0,1.0,186.0,183.0
1304,185,1737105415.0,True,False,3.0,1.0,26.0,1.0,64.0,47.0
465,879,1740150490.0,True,True,23.0,1.0,6.0,0.0,101.0,138.0
1495,262,1741786158.0,False,True,57.0,1.0,125.0,3.0,75.0,43.0
1760,975,1737723422.0,True,False,6.0,1.0,39.0,1.0,186.0,183.0
1285,255,1737040519.0,True,False,3.0,1.0,26.0,1.0,64.0,47.0
1026,748,1739547519.0,False,False,42.0,1.0,6.0,0.0,101.0,138.0
1735,115,1738852902.0,True,True,23.0,1.0,125.0,3.0,75.0,43.0
305,202,1737934286.0,True,True,21.0,1.0,39.0,3.0,183.0,79.0
1758,325,1743432543.0,False,False,44.0,1.0,26.0,3.0,230.0,67.0
729,311,1741038507.0,False,True,43.0,1.0,6.0,1.0,120.0,19.0
1782,557,1741442520.0,True,False,5.0,1.0,125.0,2.0,98.0,89.0
347,963,1740341833.0,False,True,55.0,1.0,39.0,1.0,186.0,183.0
888,725,1737512065.0,False,False,39.0,1.0,26.0,1.0,64.0,47.0
1086,943,1741412760.0,False,True,70.0,1.0,6.0,0.0,101.0,138.0
801,788,1738390080.0,True,False,3.0,1.0,125.0,3.0,75.0,43.0
1955,277,1742740154.0,False,False,47.0,1.0,39.0,3.0,183.0,79.0
226,179,1742114881.0,False,False,9.0,1.0,26.0,3.0,230.0,67.0
773,560,1742179359.0,True,True,23.0,1.0,6.0,1.0,120.0,19.0
197,464,1736139041.0,True,True,21.0,1.0,125.0,2.0,98.0,89.0
389,660,1737591194.0,True,True,22.0,1.0,39.0,1.0,186.0,183.0
502,301,1742563579.0,True,False,1.0,1.0,26.0,1.0,64.0,47.0
1074,573,1735939076.0,True,False,3.0,1.0,6.0,0.0,101.0,138.0
1190,808,1742423013.0,False,False,48.0,1.0,125.0,3.0,75.0,43.0
24,810,1738316011.0,True,False,2.0,1.0,39.0,3.0,183.0,79.0
1846,150,1739035014.0,False,False,41.0,1.0,26.0,3.0,230.0,67.0
74,155,1737915773.0,True,False,0.0,1.0,6.0,1.0,120.0,19.0
1890,434,1736225030.0,False,False,50.0,1.0,125.0,2.0,98.0,89.0
1872,323,1737439652.0,False,False,47.0,1.0,39.0,1.0,186.0,183.0
530,193,1743329740.0,True,False,1.0,1.0,26.0,1.0,64.0,47.0
1377,673,1743579499.0,True,True,24.0,1.0,6.0,0.0,101.0,138.0
1162,722,1740427651.0,True,False,4.0,1.0,125.0,3.0,75.0,43.0
657,137,1743021304.0,True,True,21.0,1.0,63.0,3.0,183.0,79.0
1505,296,1741692101.0,True,False,3.0,1.0,55.0,3.0,230.0,67.0
1096,832,1738309509.0,True,True,24.0,1.0,52.0,1.0,120.0,19.0
1172,262,1737453440.0,False,False,31.0,1.0,32.0,2.0,98.0,89.0
1532,787,1741168018.0,False,True,74.0,1.0,39.0,1.0,186.0,183.0
602,709,1739857655.0,False,False,33.0,1.0,26.0,1.0,64.0,47.0
401,395,1738988600.0,False,False,19.0,1.0,6.0,0.0,101.0,138.0
1708,239,1743091060.0,False,False,41.0,1.0,125.0,3.0,75.0,43.0
428,280,1743341581.0,True,True,21.0,1.0,63.0,3.0,183.0,79.0
298,780,1741062432.0,True,False,2.0,1.0,55.0,3.0,230.0,67.0
388,820,1739518928.0,False,True,52.0,1.0,52.0,1.0,120.0,19.0
1806,424,1736868293.0,False,True,68.0,1.0,32.0,2.0,98.0,89.0
1523,207,1737891775.0,True,True,23.0,1.0,39.0,1.0,186.0,183.0
240,332,1736841104.0,True,True,21.0,1.0,26.0,1.0,64.0,47.0
1027,65,1737738661.0,True,True,22.0,1.0,6.0,0.0,101.0,138.0
50,840,1741919220.0,True,False,2.0,1.0,125.0,3.0,75.0,43.0
1061,212,1740378897.0,False,True,47.0,1.0,63.0,3.0,183.0,79.0
144,792,1740191069.0,False,True,46.0,1.0,55.0,3.0,230.0,67.0
210,630,1737873836.0,True,True,22.0,1.0,52.0,1.0,120.0,19.0
1873,637,1741936206.0,True,True,25.0,1.0,32.0,2.0,98.0,89.0
789,613,1740573662.0,False,False,34.0,1.0,39.0,1.0,186.0,183.0
939,147,1739263763.0,False,False,23.0,1.0,26.0,1.0,64.0,47.0
1066,431,1743201284.0,False,False,34.0,1.0,6.0,0.0,101.0,138.0
1081,824,1740564828.0,True,True,24.0,1.0,125.0,3.0,75.0,43.0
512,66,1739020214.0,False,True,32.0,1.0,63.0,3.0,183.0,79.0
416,571,1738706446.0,True,True,22.0,1.0,55.0,3.0,230.0,67.0
1607,80,1737509595.0,True,False,3.0,1.0,52.0,1.0,120.0,19.0
1761,920,1736830210.0,True,True,26.0,1.0,32.0,2.0,98.0,89.0
814,923,1739944016.0,False,False,43.0,1.0,39.0,1.0,186.0,183.0
108,603,1739809710.0,False,True,40.0,1.0,26.0,1.0,64.0,47.0
693,381,1736432403.0,True,True,22.0,1.0,6.0,0.0,101.0,138.0
1905,626,1742009760.0,False,False,56.0,1.0,125.0,3.0,75.0,43.0
735,609,1736065040.0,True,True,23.0,1.0,63.0,3.0,183.0,79.0
1580,523,1742893254.0,False,False,47.0,1.0,55.0,3.0,230.0,67.0
970,881,1736589603.0,True,True,24.0,1.0,52.0,1.0,120.0,19.0
1772,93,1736951925.0,True,False,3.0,1.0,32.0,2.0,98.0,89.0
622,52,1740933198.0,False,True,34.0,1.0,39.0,1.0,186.0,183.0
1976,675,1737011826.0,False,True,79.0,1.0,26.0,1.0,64.0,47.0
1495,848,1742314243.0,True,True,25.0,1.0,6.0,0.0,101.0,138.0
652,943,1741378090.0,False,True,61.0,1.0,125.0,3.0,75.0,43.0
1802,615,1739211134.0,True,True,25.0,1.0,63.0,3.0,183.0,79.0
1038,819,1740672841.0,True,False,4.0,1.0,55.0,3.0,230.0,67.0
1251,142,1736202709.0,True,False,2.0,1.0,52.0,1.0,120.0,19.0
512,404,1738897462.0,True,True,22.0,1.0,32.0,2.0,98.0,89.0
776,74,1738871054.0,True,False,1.0,1.0,39.0,1.0,186.0,183.0
407,299,1740668474.0,True,False,1.0,1.0,26.0,1.0,64.0,47.0
880,385,1739596087.0,True,False,2.0,1.0,6.0,0.0,101.0,138.0
804,778,1740108332.0,True,False,3.0,1.0,125.0,3.0,75.0,43.0
402,476,1737778814.0,False,True,42.0,1.0,63.0,3.0,183.0,79.0
216,907,1740310595.0,False,False,31.0,1.0,55.0,3.0,230.0,67.0
1048,222,1742890543.0,True,False,2.0,1.0,52.0,1.0,120.0,19.0
1891,157,1743575483.0,True,True,24.0,1.0,32.0,2.0,98.0,89.0
1587,582,1735766109.0,True,True,24.0,1.0,39.0,1.0,186.0,183.0
901,480,1741376430.0,False,True,52.0,1.0,26.0,1.0,64.0,47.0
1494,158,1741715652.0,True,True,23.0,1.0,6.0,0.0,101.0,138.0
1724,97,1736630729.0,True,True,23.0,1.0,125.0,3.0,75.0,43.0
1608,333,1741388401.0,True,True,24.0,1.0,63.0,3.0,183.0,79.0
873,904,1743091943.0,False,True,64.0,1.0,55.0,3.0,230.0,67.0
752,405,1740174233.0,False,True,47.0,1.0,52.0,1.0,120.0,19.0
1274,799,1741968619.0,False,False,49.0,1.0,32.0,2.0,98.0,89.0
573,413,1737908091.0,True,True,22.0,1.0,39.0,1.0,186.0,183.0
1030,91,1742117273.0,True,False,2.0,1.0,26.0,1.0,64.0,47.0
105,650,1741046577.0,False,True,41.0,1.0,6.0,0.0,101.0,138.0
1933,295,1738523398.0,True,True,24.0,1.0,125.0,3.0,75.0,43.0
1767,391,1736605567.0,False,False,47.0,1.0,63.0,3.0,183.0,79.0
494,874,1738131857.0,False,True,56.0,1.0,55.0,3.0,230.0,67.0
1440,801,1739316875.0,True,True,25.0,1.0,52.0,1.0,120.0,19.0
240,279,1736996523.0,True,False,1.0,1.0,32.0,2.0,98.0,89.0
758,301,1739475910.0,True,False,2.0,1.0,39.0,1.0,186.0,183.0
1688,462,1735697023.0,True,False,4.0,1.0,26.0,1.0,64.0,47.0
1204,724,1741727147.0,False,False,45.0,1.0,6.0,0.0,101.0,138.0
550,33,1743016986.0,False,False,11.0,1.0,125.0,3.0,75.0,43.0
1069,965,1741706919.0,False,False,50.0,1.0,63.0,3.0,183.0,79.0
534,872,1737879267.0,False,True,56.0,1.0,55.0,3.0,230.0,67.0
1193,320,1739869020.0,False,True,53.0,1.0,52.0,1.0,120.0,19.0
1872,470,1742061602.0,False,True,71.0,1.0,32.0,2.0,98.0,89.0
1732,217,1737168440.0,True,True,24.0,1.0,39.0,1.0,186.0,183.0
1276,801,1739928542.0,False,True,69.0,1.0,26.0,1.0,64.0,47.0
1119,726,1743325477.0,True,False,4.0,1.0,6.0,0.0,101.0,138.0
1829,673,1736562438.0,True,False,5.0,1.0,125.0,3.0,75.0,43.0
587,447,1742972239.0,False,True,45.0,1.0,63.0,3.0,183.0,79.0
691,547,1740915198.0,False,False,30.0,1.0,55.0,3.0,230.0,67.0
566,715,1738173336.0,True,True,23.0,1.0,52.0,1.0,120.0,19.0
1607,345,1742730234.0,True,False,4.0,1.0,32.0,2.0,98.0,89.0
1986,431,1741029696.0,False,True,72.0,1.0,39.0,1.0,186.0,183.0
1022,759,1739928384.0,False,True,63.0,1.0,26.0,1.0,64.0,47.0
655,330,1740778212.0,True,True,22.0,1.0,6.0,0.0,101.0,138.0
805,506,1737338387.0,False,False,31.0,1.0,125.0,3.0,75.0,43.0
1061,596,1736951908.0,False,False,39.0,1.0,63.0,3.0,183.0,79.0
1653,956,1738806416.0,False,True,81.0,1.0,55.0,3.0,230.0,67.0
1589,172,1742066204.0,False,False,36.0,1.0,52.0,1.0,120.0,19.0
1373,820,1737024971.0,False,True,72.0,1.0,32.0,2.0,98.0,89.0
1831,550,1740194439.0,True,True,25.0,1.0,39.0,1.0,186.0,183.0
1991,174,1742201392.0,False,False,45.0,1.0,26.0,1.0,64.0,47.0
1364,858,1743407737.0,False,True,73.0,1.0,6.0,0.0,101.0,138.0
1673,707,1740118729.0,True,True,25.0,1.0,125.0,3.0,75.0,43.0
1539,575,1743374681.0,True,True,24.0,1.0,63.0,3.0,183.0,79.0
1381,304,1735674597.0,False,False,36.0,1.0,55.0,3.0,230.0,67.0
1506,51,1740694111.0,False,True,51.0,1.0,52.0,1.0,120.0,19.0
1264,933,1738389018.0,True,True,25.0,1.0,32.0,2.0,98.0,89.0
199,294,1739768521.0,False,True,32.0,1.0,39.0,1.0,186.0,183.0
1258,948,1735833182.0,False,True,73.0,1.0,26.0,1.0,64.0,47.0
1418,396,1736608214.0,False,False,40.0,1.0,6.0,0.0,101.0,138.0
1410,147,1743463644.0,True,True,23.0,1.0,125.0,3.0,75.0,43.0
1316,196,1738714703.0,False,True,52.0,1.0,63.0,3.0,183.0,79.0
1991,919,1743041053.0,False,False,67.0,1.0,55.0,3.0,230.0,67.0
642,725,1742646316.0,True,False,3.0,1.0,52.0,1.0,120.0,19.0
637,440,1742437517.0,False,False,25.0,1.0,32.0,2.0,98.0,89.0
982,563,1738249415.0,False,False,36.0,1.0,39.0,1.0,10.0,65.0
1778,871,1737678471.0,False,False,61.0,1.0,26.0,2.0,138.0,0.0
1292,425,1736155711.0,False,False,38.0,1.0,6.0,4.0,173.0,18.0
1392,809,1737690377.0,True,True,25.0,1.0,125.0,1.0,161.0,48.0
719,435,1743035078.0,True,True,22.0,1.0,63.0,1.0,98.0,8.0
1489,425,1740429134.0,False,False,42.0,1.0,55.0,1.0,231.0,139.0
1444,35,1736330462.0,False,True,49.0,1.0,52.0,3.0,236.0,242.0
658,380,1736388313.0,False,False,24.0,1.0,32.0,3.0,40.0,61.0
327,394,1741809485.0,False,True,38.0,1.0,39.0,1.0,186.0,183.0
1710,65,1739746583.0,True,False,3.0,1.0,26.0,1.0,64.0,47.0
1258,262,1742515099.0,True,False,3.0,1.0,6.0,0.0,101.0,138.0
1852,643,1736250396.0,True,True,25.0,1.0,125.0,3.0,75.0,43.0
1267,115,1742050193.0,False,False,28.0,1.0,63.0,3.0,183.0,79.0
693,139,1740138463.0,False,True,38.0,1.0,55.0,3.0,230.0,67.0
673,858,1742094084.0,False,False,39.0,1.0,52.0,1.0,120.0,19.0
1860,679,1736724755.0,True,False,5.0,1.0,32.0,2.0,98.0,89.0
1407,385,1736746825.0,True,True,23.0,1.0,39.0,1.0,10.0,65.0
1705,752,1741204191.0,True,False,5.0,1.0,26.0,2.0,138.0,0.0
1641,976,1739656757.0,True,True,26.0,1.0,6.0,4.0,173.0,18.0
1505,317,1740281886.0,True,True,23.0,1.0,125.0,1.0,161.0,48.0
1266,100,1737054985.0,False,True,48.0,1.0,63.0,1.0,98.0,8.0
1725,402,1737893256.0,False,True,66.0,1.0,55.0,1.0,231.0,139.0
1146,543,1740096248.0,False,True,59.0,1.0,52.0,3.0,236.0,242.0
1863,811,1742988298.0,True,False,6.0,1.0,32.0,3.0,40.0,61.0
1530,119,1740758278.0,False,False,34.0,1.0,78.0,1.0,186.0,183.0
451,570,1739219338.0,False,True,46.0,1.0,23.0,1.0,64.0,47.0
573,650,1737446492.0,True,False,3.0,1.0,47.0,0.0,101.0,138.0
1301,594,1743462091.0,True,True,24.0,1.0,125.0,3.0,75.0,43.0
1543,349,1740193743.0,True,False,4.0,1.0,122.0,3.0,183.0,79.0
1840,574,1742005423.0,False,True,74.0,1.0,19.0,3.0,230.0,67.0
1419,988,1741792905.0,True,False,5.0,1.0,135.0,1.0,120.0,19.0
1420,365,1741456829.0,False,True,59.0,1.0,98.0,2.0,98.0,89.0
1146,901,1737357177.0,False,False,49.0,1.0,39.0,1.0,10.0,65.0
1646,177,1741650449.0,True,True,23.0,1.0,26.0,2.0,138.0,0.0
1658,566,1738284665.0,False,True,70.0,1.0,6.0,4.0,173.0,18.0
961,461,1739016789.0,True,False,3.0,1.0,125.0,1.0,161.0,48.0
1114,914,1741304318.0,True,True,24.0,1.0,63.0,1.0,98.0,8.0
708,114,1741121372.0,False,True,37.0,1.0,55.0,1.0,231.0,139.0
122,159,1738802278.0,False,False,7.0,1.0,52.0,3.0,236.0,242.0
11,155,1739344849.0,False,False,4.0,1.0,32.0,3.0,40.0,61.0
651,725,1743216309.0,True,True,23.0,1.0,78.0,1.0,186.0,183.0
229,883,1740011540.0,False,True,51.0,1.0,23.0,1.0,64.0,47.0
1599,308,1739457140.0,True,True,24.0,1.0,47.0,0.0,101.0,138.0
864,176,1736684856.0,True,True,22.0,1.0,125.0,3.0,75.0,43.0
1769,722,1737749383.0,False,False,57.0,1.0,122.0,3.0,183.0,79.0
1258,655,1737554697.0,False,True,64.0,1.0,19.0,3.0,230.0,67.0
394,732,1736206888.0,False,True,49.0,1.0,135.0,1.0,120.0,19.0
1436,57,1738505867.0,False,False,30.0,1.0,98.0,2.0,98.0,89.0
1671,647,1735846248.0,True,False,5.0,1.0,39.0,1.0,10.0,65.0
1163,248,1740604891.0,False,True,50.0,1.0,26.0,2.0,138.0,0.0
1086,16,1740316430.0,True,False,2.0,1.0,6.0,4.0,173.0,18.0
1717,473,1737600142.0,False,False,48.0,1.0,125.0,1.0,161.0,48.0
739,462,1740605993.0,False,False,28.0,1.0,63.0,1.0,98.0,8.0
1705,793,1737517117.0,False,True,77.0,1.0,55.0,1.0,231.0,139.0
1743,906,1735730121.0,True,True,26.0,1.0,52.0,3.0,236.0,242.0
1449,380,1736265333.0,False,True,60.0,1.0,32.0,3.0,40.0,61.0
256,558,1741607600.0,True,False,2.0,1.0,78.0,1.0,186.0,183.0
845,496,1740963875.0,False,True,51.0,1.0,23.0,1.0,64.0,47.0
1472,220,1736163668.0,False,True,56.0,1.0,47.0,0.0,101.0,138.0
212,174,1737590302.0,True,True,20.0,1.0,125.0,3.0,75.0,43.0
1217,134,1736235194.0,True,False,2.0,1.0,122.0,3.0,183.0,79.0
132,346,1743265013.0,False,True,33.0,1.0,19.0,3.0,230.0,67.0
410,201,1735933310.0,False,True,34.0,1.0,135.0,1.0,120.0,19.0
776,739,1742880944.0,True,True,23.0,1.0,98.0,2.0,98.0,89.0
303,223,1738441635.0,False,True,32.0,1.0,39.0,1.0,10.0,65.0
289,583,1736264194.0,True,False,2.0,1.0,26.0,2.0,138.0,0.0
1870,337,1739982854.0,False,True,67.0,1.0,6.0,4.0,173.0,18.0
893,966,1737666327.0,True,True,24.0,1.0,125.0,1.0,161.0,48.0
1643,390,1738005836.0,True,False,4.0,1.0,63.0,1.0,98.0,8.0
207,682,1741281592.0,True,False,2.0,1.0,55.0,1.0,231.0,139.0
991,587,1739741751.0,True,False,3.0,1.0,52.0,3.0,236.0,242.0
1940,807,1737466948.0,True,False,6.0,1.0,32.0,3.0,40.0,61.0
1544,248,1740193222.0,False,False,38.0,1.0,78.0,1.0,186.0,183.0
761,541,1736779712.0,False,True,51.0,1.0,23.0,1.0,64.0,47.0
153,709,1741737721.0,False,False,24.0,1.0,47.0,0.0,101.0,138.0
618,91,1743517462.0,False,False,15.0,1.0,125.0,3.0,75.0,43.0
1234,372,1743071765.0,False,False,35.0,1.0,122.0,3.0,183.0,79.0
1157,514,1740460056.0,False,True,58.0,1.0,19.0,3.0,230.0,67.0
196,211,1740503413.0,False,True,30.0,1.0,135.0,1.0,120.0,19.0
1359,929,1739634851.0,False,True,75.0,1.0,98.0,2.0,98.0,89.0
473,513,1737708208.0,False,False,24.0,1.0,39.0,1.0,10.0,65.0
1382,653,1742251664.0,True,True,24.0,1.0,26.0,2.0,138.0,0.0
1804,46,1739637384.0,True,False,3.0,1.0,6.0,4.0,173.0,18.0
669,653,1742443575.0,False,False,32.0,1.0,125.0,1.0,161.0,48.0
773,598,1739084466.0,True,True,23.0,1.0,63.0,1.0,98.0,8.0
964,610,1737267074.0,False,True,57.0,1.0,55.0,1.0,231.0,139.0
1965,982,1736461062.0,True,True,26.0,1.0,52.0,3.0,236.0,242.0
412,411,1736482914.0,True,False,2.0,1.0,32.0,3.0,40.0,61.0
1379,774,1741197747.0,True,True,25.0,1.0,78.0,1.0,186.0,183.0
1996,865,1739285719.0,False,True,85.0,1.0,23.0,1.0,64.0,47.0
1544,715,1738641863.0,False,True,72.0,1.0,47.0,0.0,101.0,138.0
156,185,1739223035.0,False,True,28.0,1.0,125.0,3.0,75.0,43.0
1181,554,1739118375.0,False,True,60.0,1.0,122.0,3.0,183.0,79.0
873,579,1739587486.0,True,False,3.0,1.0,19.0,3.0,230.0,67.0
1744,476,1742916187.0,False,False,49.0,1.0,135.0,1.0,120.0,19.0
1853,210,1741785731.0,True,True,24.0,1.0,98.0,2.0,98.0,89.0
498,549,1736124220.0,False,False,26.0,1.0,39.0,1.0,10.0,65.0
938,556,1741318391.0,True,False,3.0,1.0,26.0,2.0,138.0,0.0
1969,646,1741151381.0,True,False,5.0,1.0,6.0,4.0,173.0,18.0
1673,403,1741090348.0,True,True,24.0,1.0,125.0,1.0,161.0,48.0
560,842,1736495388.0,True,False,3.0,1.0,63.0,1.0,98.0,8.0
347,51,1736178255.0,False,True,28.0,1.0,55.0,1.0,231.0,139.0
881,606,1739047232.0,False,False,35.0,1.0,52.0,3.0,236.0,242.0
650,402,1741778498.0,True,True,22.0,1.0,32.0,3.0,40.0,61.0
